Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,Suspected,ConfnSusp,Notes
,Afghanistan,2020-02-24T23:33:02,1.0,0.0,0.0,,,,,
,Algeria,2020-02-25T23:43:03,1.0,0.0,0.0,,,,,
,Belarus,2020-02-28T16:23:03,1.0,0.0,0.0,,,,,
,Belgium,2020-02-17T04:23:06,1.0,0.0,1.0,,,,,
,Brazil,2020-02-26T23:53:02,1.0,0.0,0.0,,,,,
,Cambodia,2020-02-12T07:43:02,1.0,0.0,1.0,,,,,
" Montreal, QC",Canada,2020-02-28T05:23:07,1.0,0.0,0.0,,,,,
"London, ON",Canada,2020-02-12T18:53:03,1.0,0.0,1.0,,,,,
,Denmark,2020-02-27T16:23:03,1.0,0.0,0.0,,,,,
,Egypt,2020-02-28T04:13:09,1.0,0.0,1.0,,,,,
,Estonia,2020-02-27T16:23:03,1.0,0.0,0.0,,,,,
,Georgia,2020-02-27T16:23:03,1.0,0.0,0.0,,,,,
,Iceland,2020-02-28T15:33:03,1.0,0.0,0.0,,,,,
,Lithuania,2020-02-28T16:23:03,1.0,0.0,0.0,,,,,
Tibet,Mainland China,2020-02-12T06:43:02,1.0,0.0,1.0,,,,,
,Mexico,2020-02-28T15:03:26,1.0,0.0,0.0,,,,,
,Nepal,2020-02-12T14:43:03,1.0,0.0,1.0,,,,,
,Netherlands,2020-02-28T01:23:03,1.0,0.0,0.0,,,,,
,New Zealand,2020-02-28T16:23:03,1.0,0.0,0.0,,,,,
,Nigeria,2020-02-28T16:23:03,1.0,0.0,0.0,,,,,
,North Ireland,2020-02-28T05:43:02,1.0,0.0,0.0,,,,,
,North Macedonia,2020-02-27T16:23:03,1.0,0.0,0.0,,,,,
,San Marino,2020-02-27T21:13:10,1.0,0.0,0.0,,,,,
,Sri Lanka,2020-02-08T03:43:03,1.0,0.0,1.0,,,,,
"Boston, MA",US,2020-02-28T21:13:12,1.0,0.0,1.0,,,,,
"Humboldt County, CA",US,2020-02-21T05:13:09,1.0,0.0,0.0,,,,,
"Los Angeles, CA",US,2020-02-01T19:53:03,1.0,0.0,0.0,,,,,
"Madison, WI",US,2020-02-05T21:53:02,1.0,0.0,0.0,,,,,
"Orange, CA",US,2020-02-01T19:53:03,1.0,0.0,0.0,,,,,
"San Antonio, TX",US,2020-02-13T18:53:02,1.0,0.0,0.0,,,,,
"Seattle, WA",US,2020-02-09T07:03:04,1.0,0.0,1.0,,,,,
"Tempe, AZ",US,2020-02-25T21:23:03,1.0,0.0,1.0,,,,,
"Lackland, TX (From Diamond Princess)",US,2020-02-24T23:33:02,0.0,0.0,0.0,,,,,
"Omaha, NE (From Diamond Princess)",US,2020-02-24T23:33:02,0.0,0.0,0.0,,,,,
"Travis, CA (From Diamond Princess)",US,2020-02-24T23:33:02,0.0,0.0,0.0,,,,,
Hubei,Mainland China,1/24/20 17:00,549.0,24.0,31.0,,,,,
Guangdong,Mainland China,1/24/20 17:00,53.0,,2.0,,,,,
Zhejiang,Mainland China,1/24/20 17:00,43.0,,1.0,,,,,
Beijing,Mainland China,1/24/20 17:00,36.0,,1.0,,,,,
Chongqing,Mainland China,1/24/20 17:00,27.0,,,,,,,
Hunan,Mainland China,1/24/20 17:00,24.0,,,,,,,
Guangxi,Mainland China,1/24/20 17:00,23.0,,,,,,,
Shanghai,Mainland China,1/24/20 17:00,20.0,,1.0,,,,,
Jiangxi,Mainland China,1/24/20 17:00,18.0,,,,,,,
Sichuan,Mainland China,1/24/20 17:00,15.0,,,,,,,
Shandong,Mainland China,1/24/20 17:00,15.0,,,,,,,
Anhui,Mainland China,1/24/20 17:00,15.0,,,,,,,
Fujian,Mainland China,1/24/20 17:00,10.0,,,,,,,
Henan,Mainland China,1/24/20 17:00,9.0,,,,,,,
Jiangsu,Mainland China,1/24/20 17:00,9.0,,,,,,,
Hainan,Mainland China,1/24/20 17:00,8.0,,,,,,,
Tianjin,Mainland China,1/24/20 17:00,8.0,,,,,,,
Yunnan,Mainland China,1/24/20 17:00,5.0,,,,,,,
Shaanxi,Mainland China,1/24/20 17:00,5.0,,,,,,,
Heilongjiang,Mainland China,1/24/20 17:00,4.0,1.0,,,,,,
Liaoning,Mainland China,1/24/20 17:00,4.0,,,,,,,
Guizhou,Mainland China,1/24/20 17:00,3.0,,,,,,,
Jilin,Mainland China,1/24/20 17:00,3.0,,,,,,,
Taiwan,Taiwan,1/24/20 17:00,3.0,,,,,,,
Ningxia,Mainland China,1/24/20 17:00,2.0,,,,,,,
Hong Kong,Hong Kong,1/24/20 17:00,2.0,,,,,,,
Macau,Macau,1/24/20 17:00,2.0,,,,,,,
Hebei,Mainland China,1/24/20 17:00,2.0,1.0,,,,,,
Gansu,Mainland China,1/24/20 17:00,2.0,,,,,,,
Xinjiang,Mainland China,1/24/20 17:00,2.0,,,,,,,
Shanxi,Mainland China,1/24/20 17:00,1.0,,,,,,,
Inner Mongolia,Mainland China,1/24/20 17:00,1.0,,,,,,,
Qinghai,Mainland China,1/24/20 17:00,,,,,,,,
Washington,US,1/24/20 17:00,1.0,,,,,,,
Chicago,US,1/24/20 17:00,1.0,,,,,,,
,Japan,1/24/20 17:00,2.0,,,,,,,
,Thailand,1/24/20 17:00,5.0,,,,,,,
,South Korea,1/24/20 17:00,2.0,,,,,,,
,Singapore,1/24/20 17:00,3.0,,,,,,,
,Vietnam,1/24/20 17:00,2.0,,,,,,,
,France,1/24/20 17:00,2.0,,,,,,,
Hubei,Mainland China,2020-02-15T23:13:05,56249.0,1596.0,5623.0,,,,,
Guangdong,Mainland China,2020-02-15T14:03:04,1294.0,2.0,410.0,,,,,
Henan,Mainland China,2020-02-15T12:13:08,1212.0,13.0,391.0,,,,,
Zhejiang,Mainland China,2020-02-15T11:23:17,1162.0,0.0,428.0,,,,,
Hunan,Mainland China,2020-02-15T13:03:04,1001.0,2.0,425.0,,,,,
Anhui,Mainland China,2020-02-15T12:13:08,950.0,6.0,221.0,,,,,
Jiangxi,Mainland China,2020-02-15T01:33:02,913.0,1.0,210.0,,,,,
Jiangsu,Mainland China,2020-02-15T12:13:08,604.0,0.0,186.0,,,,,
Chongqing,Mainland China,2020-02-15T23:23:07,544.0,5.0,184.0,,,,,
Shandong,Mainland China,2020-02-15T11:23:17,532.0,2.0,156.0,,,,,
Sichuan,Mainland China,2020-02-15T08:43:03,470.0,1.0,119.0,,,,,
Heilongjiang,Mainland China,2020-02-15T11:43:01,425.0,11.0,68.0,,,,,
Beijing,Mainland China,2020-02-15T09:53:01,375.0,4.0,98.0,,,,,
Shanghai,Mainland China,2020-02-15T03:13:06,326.0,1.0,124.0,,,,,
Hebei,Mainland China,2020-02-15T13:03:04,291.0,3.0,101.0,,,,,
Fujian,Mainland China,2020-02-15T13:03:04,285.0,0.0,71.0,,,,,
Diamond Princess cruise ship,Others,2020-02-15T17:03:04,285.0,0.0,0.0,,,,,
Guangxi,Mainland China,2020-02-15T06:33:01,235.0,2.0,44.0,,,,,
Shaanxi,Mainland China,2020-02-15T12:13:08,232.0,0.0,60.0,,,,,
Yunnan,Mainland China,2020-02-15T06:33:01,168.0,0.0,42.0,,,,,
Hainan,Mainland China,2020-02-15T11:23:17,162.0,4.0,39.0,,,,,
Guizhou,Mainland China,2020-02-15T14:53:04,143.0,1.0,41.0,,,,,
Shanxi,Mainland China,2020-02-15T23:13:05,128.0,0.0,46.0,,,,,
Tianjin,Mainland China,2020-02-15T13:43:01,122.0,3.0,37.0,,,,,
Liaoning,Mainland China,2020-02-15T09:53:01,119.0,1.0,31.0,,,,,
Gansu,Mainland China,2020-02-15T12:13:08,90.0,2.0,49.0,,,,,
Jilin,Mainland China,2020-02-15T12:13:08,88.0,1.0,26.0,,,,,
,Singapore,2020-02-15T23:53:02,72.0,0.0,18.0,,,,,
Ningxia,Mainland China,2020-02-15T08:43:03,70.0,0.0,33.0,,,,,
Xinjiang,Mainland China,2020-02-15T09:53:01,70.0,1.0,10.0,,,,,
Inner Mongolia,Mainland China,2020-02-15T14:03:04,68.0,0.0,7.0,,,,,
Hong Kong,Hong Kong,2020-02-14T09:03:12,56.0,1.0,1.0,,,,,
,Japan,2020-02-15T17:43:06,43.0,1.0,12.0,,,,,
,Thailand,2020-02-13T17:53:03,33.0,0.0,12.0,,,,,
,South Korea,2020-02-15T23:33:02,28.0,0.0,9.0,,,,,
,Malaysia,2020-02-15T23:43:02,22.0,0.0,7.0,,,,,
Qinghai,Mainland China,2020-02-15T08:43:03,18.0,0.0,13.0,,,,,
Taiwan,Taiwan,2020-02-15T03:43:02,18.0,0.0,2.0,,,,,
,Germany,2020-02-13T15:13:11,16.0,0.0,1.0,,,,,
,Vietnam,2020-02-13T06:33:02,16.0,0.0,7.0,,,,,
,France,2020-02-15T20:53:02,12.0,1.0,4.0,,,,,
Macau,Macau,2020-02-13T14:13:06,10.0,0.0,3.0,,,,,
